;sample;count;analysis
0;027c895791754d06b725819544e6a30c;28;TRUE
1;0673caceba3f45cbabb531203e61c367;16;TRUE
2;09e168174c9d43a5be902076945b7362;17;TRUE
3;102ef4da133e44dc91cb5af9e430ca0a;22;TRUE
4;10bd9745b6a5471880b69a4788157c66;12;TRUE
5;11a93a2a35554a13a34f12918fad6bc3;17;TRUE
6;1261f9bfa9a24beda7785e35b0d948d4;7;TRUE
7;132b653a045d4ef8b6427c39802d7cae;20;TRUE
8;18d39992d6e545cb9c03b6a8452392a0;11;TRUE
9;1bc7b3da8b6f499c81e914c8fdbfd62a;23;TRUE
10;1edee81eb83b40d6877e86e7c1af632b;13;TRUE
11;20abdb808ad94821ab776e9fbda4c120;11;TRUE
12;25a1c146de284ba090a88d56f5be0f4b;14;TRUE
13;2738281e95d642aaa38fa50e493791a2;14;TRUE
14;281230871542460e95c3f84ad36ce3b0;22;TRUE
15;29098a6c93364197ae33de74a8f27003;16;TRUE
16;29dd9f3e647a4e2ebc808b57b9aae774;9;TRUE
17;29fcd571898246af86e9caeda4fff674;12;TRUE
18;2a33be1c8c284b61a99109b1513ff617;11;TRUE
19;2c3a1cfd653147a6b9f572254ddb641c;21;TRUE
20;2cc795db81ab42bfb37ff518d371bcc3;27;TRUE
21;2fdfdf602a2b49dc8328cc8d3293cb0e;14;TRUE
22;35d98cb0fc4c4748bedb1e533a6c3d8d;14;TRUE
23;37de0f8aa61a4922afa7184412bfe637;16;TRUE
24;3ffda6b710624334ad2e6b34443992b1;12;TRUE
25;435a84f28eac4395bfb194327431b96c;16;TRUE
26;43aa958888fe479e9615978de76fad04;10;TRUE
27;44716ecc00b14db5b7c274ee616bd3c8;18;TRUE
28;4b3f2adb5ee9463cba40db2816e27931;20;TRUE
29;4b7673e49e9a40019f3d3862230f1a55;20;TRUE
30;4f081d60d8974d118c1b3d78f3914b10;20;TRUE
31;50620de16820478fb47c13c1d91a916a;27;TRUE
32;51bb8e5d2b7e45eb9b14017402a284eb;17;TRUE
33;524f5fd06bd445dc9c5b18c3edb1d0a6;19;TRUE
34;52a6916dbead48748e75b908ffb0fccc;17;TRUE
35;52b460d89f204fc587d9c256f0fdc8e7;18;TRUE
36;531b7246928a458c854ae8e69c12bed5;19;TRUE
37;54fa3beb8a0947cdbd0cbdfa2a97b2f2;13;TRUE
38;5ce61c45564f4b87ae96c4c2eebfd535;12;TRUE
39;637de2b661224a26b31025a0a957c0a6;14;TRUE
40;63f9ad8693ea4a2288530b0ffb5c0d9a;16;TRUE
41;643440ed026f4d80ae09667e438f9d77;16;TRUE
42;6a9700eabaad45d790cf0b15fcb39852;16;TRUE
43;6e84c83ae7644252ad0b073186a66b07;19;TRUE
44;710ea51e40454c4da680ddd7b66f370c;16;TRUE
45;71a4e70ab28947578349762a3a7eb0bb;16;TRUE
46;75923c558fe94b31a08df1d72456903a;16;TRUE
47;77182e578f51412280bb5a37c5128209;19;TRUE
48;781795661823494b960c904f45a00d88;24;TRUE
49;80988efe495b41aa97a075fb9280f479;12;TRUE
50;843958ed8fa646afad3723c8accaa35e;16;TRUE
51;8ba7144b3b6c480bbd238cc503d63a6f;14;TRUE
52;91375804e4874645a6fb34fc8e7866d5;22;TRUE
53;92e019e1dbc94f068d3edd6be937c545;16;TRUE
54;92f0b307876d4545a587d4ba1be98ce6;17;TRUE
55;962d185363db4e78a19a664d116faea6;19;TRUE
56;9aa3b4807dca4fbda001f5b6af561410;19;TRUE
57;9e54ef91469c420bb444e2835e4fda1b;25;TRUE
58;9ffb301e4c134154bf1034393571a288;16;TRUE
59;a23bfa6ce2ec44e8a3ef494fa5feb0ff;18;TRUE
60;a3bdb2d2201d4d8b9ca64c3566d1306f;19;TRUE
61;a58982c93a50485fbb6f155c07bcc727;19;TRUE
62;a7115549aaba40dcabb11eca4e3ca138;24;TRUE
63;aa5395b702be4316a0627a64532328db;17;TRUE
64;aae2766eb9bf40a0aaed6c72d8dff606;14;TRUE
65;ac417b7248c243cd89df3a4a28aa96b1;21;TRUE
66;aec78cd5ab2c406ca020027e770f44d0;14;TRUE
67;b07d6ae1ee7c424b8cec0dfddc3f557e;13;TRUE
68;b1d3860b54eb4be2a0e938f39a0d9335;17;TRUE
69;b6c0a5b781ff4e43af6ab56140a5c330;14;TRUE
70;b7d974c75f6f466aa560c43002152d35;12;TRUE
71;b7fdd9007fcc4f32acd9dce984b89301;19;TRUE
72;bb4b647ebea7436f989467cfa19d82f0;15;TRUE
73;bbf6e24b62354814af66b82de193af66;22;TRUE
74;bdbc0b02b2ef4453b96900b36000de20;15;TRUE
75;c30a5714630240d89efdc03c3d9f1c8e;23;TRUE
76;c3c38b140791404085836b2a1239467a;14;TRUE
77;c59bc04b62ce4424928dc2b2782a3d1d;20;TRUE
78;c65d4acbede54077bdc1aad51afb7056;17;TRUE
79;c81ae7e55d484448ad0d0ac6a2777356;19;TRUE
80;ca3c8109557447c2b11a3315a3e4952d;24;TRUE
81;cdaea0fbbaa3419a8ae66ba5a352dfff;15;TRUE
82;ce1f4ab9f1e64332a091c535a4283c38;11;TRUE
83;d2c63aac22d6408c937b5bcce5407e0b;12;TRUE
84;d57a370f62da4fa38c9bb6c2d2cce62b;17;TRUE
85;ddfc3db098f84f67a940481439a4f35f;20;TRUE
86;deb7a103d9984138b0c69e47d2b3cc7f;17;TRUE
87;e385c2b0b258448ab3702ef02976f979;15;TRUE
88;eb63ac0c38c64973b3dd73a44e3f1834;12;TRUE
89;ed1e025133e24b1a921a8aa501b60436;16;TRUE
90;edaff5b2a1bf40128b4e4aa632ef30b7;14;TRUE
91;ee810546bbfa46f6844ac179cd3a5e86;13;TRUE
92;ef95a9ec4e7e451da7396a26177ceacb;16;TRUE
93;f017d3f3a44c4ec0b5fd6c5f0bb9a12d;15;TRUE
94;f062c7eea6cf4414aa9e4bd44a8e269d;18;TRUE
95;f431a807b32a4ac69abd23f674251c68;24;TRUE
96;fa1ff5f5c88045f38041e44026b72ea3;14;TRUE
97;fb2d95579ef84cbbaf2aa21a38a65bf8;17;TRUE
98;fe5be5f1a0b9487bb103376b23e24d08;17;TRUE
99;ff313b36bd7d401a8ea9b85de24ba141;13;TRUE
