;sample;count;analysis
0;02834e6d72084ec08385382edbecbb3d;17;TRUE
1;07d8a4ebcd5a4d68bbe952beeb0879cb;9;TRUE
2;106276c2cd3c4826a3d255351a5cdadb;10;TRUE
3;11b5ac0533374cdb993384c842f30c64;10;TRUE
4;12dd82c7650b49fd99e3598d9801b17b;10;TRUE
5;1628e556608f41d989a210ad315ae477;11;TRUE
6;1ae02a540b78434684db449c22070c7d;10;TRUE
7;2332f05fa90d4d0db1a6c2cd48cc5eff;7;TRUE
8;27b6dad90f294f7f99f1f958d29f6dd2;12;TRUE
9;2925fa88217442dc84fca451a9db8cc2;16;TRUE
10;2a54c7b001154d0d904bc2c247f29521;15;TRUE
11;2ac0c298612f4cd8b897bb9651d2e96e;14;TRUE
12;2af3dd65c2db4a179621f44515aa3642;13;TRUE
13;2d477d730ab242898a8a94068f17cbc6;14;TRUE
14;2ea5722d0504431a8dd4fafa0dd4408a;16;TRUE
15;31c32391841045a9a68d3b76ef5544a7;13;TRUE
16;3505a4d9fe9f4b4fa3d7ce72d6bbd855;15;TRUE
17;36c698afe128411f80ab3bc3ef995bc8;13;TRUE
18;375da2ae0df44801b738258b4047c68b;11;TRUE
19;39da7ad4d7064ac383b14315b2649bc2;7;TRUE
20;3acce3601a764c0bbd4e82da76d9d3f7;15;TRUE
21;3ca6de6376404acfb9669899d2defc3a;18;TRUE
22;3d0700059dfc4e5c85be6e36d8328cc4;9;TRUE
23;3df5469b1004456598e1a6d0d34e5f33;6;TRUE
24;40be7b5279be40189efafc5ec9ce053e;14;TRUE
25;41d6580af13f43d2ad9d7cadd916b452;7;TRUE
26;43cc8fe6baff47b1b7cd559e6ee0c1a9;13;TRUE
27;44525f76bda14bcb8f1af8eb28ae12c7;14;TRUE
28;44a6bbb801fb426fa84b5a3eb1b689ef;5;TRUE
29;44d6609cd755488b9bef0b0850333e6c;10;TRUE
30;4881880f540243079921f277c2fb41e2;11;TRUE
31;4a0a556d6e4d4e42aabb9037d204f05f;12;TRUE
32;4ad23b1a54f449cf99acc8abee9d6fa8;15;TRUE
33;4c6f508ada02402c96458d3500798ef0;15;TRUE
34;4d79cb970cec4edeadcb26df50252ddf;13;TRUE
35;4e7f814205ba4802af4d5f2f06d792ea;13;TRUE
36;519143a6400040d485d15eecc0c22657;17;TRUE
37;55a6a0b5ec9e41408587e686953dfe65;11;TRUE
38;58cc977cf43e451795ee961e63d48275;9;TRUE
39;58e41a382a884cc699344c335b272cc5;10;TRUE
40;59a27e8aeb834f8681308ae6a3e8ba80;17;TRUE
41;5a01a87d52824dc19b7a4e8a376052b7;8;TRUE
42;5c56dc3955034145acd17f2ea29b7b95;12;TRUE
43;5fa7f5785cc84cc493217358ea7a64e8;12;TRUE
44;611f74c0074940bdbae1cd5be622d372;9;TRUE
45;6230dc50de6847c3aa96d5904e4badb8;19;TRUE
46;654131e2318b4deda7da38467c86ff8c;14;TRUE
47;688c6d44a37b48d5a8952e9277cd8538;9;TRUE
