;sample;count;analysis
0;0010e848a4964541899b6154cf8b37e5;14;TRUE
1;00a8a3eb47b144738942e14e3800aa32;10;TRUE
2;03f00fab2aa04258b26025aaabd72438;11;TRUE
3;041ea2a4551e4ee09c617bf53da7b079;13;TRUE
4;0701eae94a0c41639c8752ef0e690657;10;TRUE
5;07704ef7fa9e4c3e9ec2f830cf767a9d;17;TRUE
6;082443c802394ca49cc957f92acaf8d7;5;TRUE
7;0a03db3ccdba4a4a9528fcfbe5ec837a;14;TRUE
8;0b173efb1b6b4ae590ebeb039904bca7;17;TRUE
9;0cce17b865ac4ad7a2f17428b9312487;9;TRUE
10;0ecf5d236e0d4a1a89e60944a96e515d;14;TRUE
11;103e057fdf9c4a02bce68b76b9611013;15;TRUE
12;109b7bc35f77413caed82d060db54f68;6;TRUE
13;13faa3c18d6a4fb0ba15660449e586b0;9;TRUE
14;1494945f7b1248bbaee19436cfa92c2e;15;TRUE
15;1aa103ed32db4c069296aae1edd45483;21;TRUE
16;1c4acefc4a144d308029cc93c8814984;11;TRUE
17;2111d45a08384b2db2021d7a0638184f;14;TRUE
18;261daee1b110484ebf2a9b3ff201e185;15;TRUE
19;284051cedbe748c698e7d2c5b69f76c0;15;TRUE
20;2bde0ea0bbfc4e56b5e43f99c63098e7;11;TRUE
21;2c1784508dad40dfa71d895f15bce9c2;14;TRUE
22;2ccae7ba705e4cb19cf5fb5702bffbf3;12;TRUE
23;2d359b27c9854c8e80ec1eb79b38a7d2;10;TRUE
24;2e7957a5608b46808d35282c3f3d4d1a;4;TRUE
25;300aa3b9531642789d4c2600e5fe3eb6;19;TRUE
26;317b1a1ba3eb43189616d4b0b120132d;11;TRUE
27;3484c1702df9485a9fb24782e1eb75d1;10;TRUE
28;3d867088e8f84cbd9e3524cf886f9fd2;7;TRUE
29;4205d45af5784af7b3b320a59a0f304a;14;TRUE
30;448c22bf8c374a0f9f70ac2c3f8c5892;13;TRUE
31;495187264bd14660bb16257b7eabea85;7;TRUE
32;4cc4fff1a9e747c0b6e0f52bf6079038;17;TRUE
33;4f40a2c836284d3b9d72bfa916acf2e3;12;TRUE
34;5110e64be40f4906b1d68fcd9ab921ef;10;TRUE
35;5579e850932c4a689527d8c9f5b3a516;15;TRUE
36;56a0ce079dcd424d9b313637ebbc49de;14;TRUE
37;5736817f61fb4a549d76cdc3cf07f878;16;TRUE
38;57cdb9d7206d4f1fbf15015e337234e2;13;TRUE
39;590f88956eac464a84be511f20157f69;16;TRUE
40;5e2d7432a4b0441f83c2170d3f563ebc;25;TRUE
41;60913f9c94704c87a3feb05e0b12ef80;7;TRUE
42;654a7c09522642598d1ce8cf6182d54b;7;TRUE
43;65d7ca772acf4c41893758fc14bc217c;6;TRUE
44;66cdc7c1fef44242b35c5d06e82e582c;9;TRUE
45;68d9a9a1216d47ea881e5e22403476ed;9;TRUE
46;695b18bcbded44a6a06f95fa976a0ab6;11;TRUE
47;6be030058e874cdb9c280f89f0263612;10;TRUE
48;71b7df27b5e94bdf86700c1019484fc2;16;TRUE
49;728307d222f84c27b7ef44e9de641814;6;TRUE
50;78e00657bf454d5189dcacaa8c028e61;9;TRUE
51;8417e100c8cf41d4a25d6ab95cc55349;9;TRUE
52;8508b93cf9ce4503b33edbdc87444372;13;TRUE
53;8a069644261d40c594d70ecb69cfc7c6;13;TRUE
54;8b3aed4c081d4d33a5c13cb36f27a890;19;TRUE
55;8e5234269e17417fad78d5a4472b6dd1;15;TRUE
56;8ee9b075f2204302b58fc43aefd210e2;12;TRUE
57;90ccbb895a4d4449bb2e1ea475e831d2;17;TRUE
58;95270efce5d44cfba4d4c2b4363d03bd;10;TRUE
59;988b1586b66d474ea5a982fff90d5c84;11;TRUE
60;99dec15380104933ad72d34414c39665;16;TRUE
61;9c044a665ac14577a86606272465f09b;14;TRUE
62;a2f6a761795f4aaeb19029fbf936a497;12;TRUE
63;a8ba9dedd24c4e31910a379eb8264fea;11;TRUE
64;a8f168bfbe334cf0b2b15df1ab687b00;9;TRUE
65;aa06728f1edf451b80454cf4b32a90a2;14;TRUE
66;aaa76c4483274a35a179ba3ec77ba777;5;TRUE
67;ad746b65501d481e97f2a4ea0b998a39;6;TRUE
68;af9ccdea91b74f7dae3b1fbb9344c501;17;TRUE
69;afd699a3ee4847118e0ccfe48790e62b;18;TRUE
70;b276dbf62bc04260a17037fb492d0057;10;TRUE
71;b2a630ff4bbb42edb5d817ec99450364;13;TRUE
72;b366fc5292784a499de8a17d59189cb7;7;TRUE
73;b86cae09bc7245198c693a68e0ebb6e2;9;TRUE
74;be0049f596f84ec593b5ae6135c172ad;8;TRUE
75;be62c8d1da29459aba62746cd776a8b4;14;TRUE
76;c0558bda405d4de4a6cd45478f2fb382;11;TRUE
77;c08e403b4c6e4e26bf657fd7455d0b3c;13;TRUE
78;c507d4f517c64960aae571e095b614fa;9;TRUE
79;c59a7b9ab7304efd8d6b30078d57dca3;14;TRUE
80;c5cb0d06ce1b4b5b8f1ae1e753a897f0;13;TRUE
81;c6ac8ebb01004dd69705d08c27f7a981;16;TRUE
82;c6d65239537e450480403ea3fa1c2ba2;11;TRUE
83;c71f64f293d1437c81c34a71ed9ab235;12;TRUE
84;d0f85fe2c1164a46b662c94b2990139e;9;TRUE
85;d369873954434a2eabbf77964b2e97ce;12;TRUE
86;dc319d2710364f8f8aa433c0997040f3;12;TRUE
87;dd06f577be194378a88e3e1db1fa9eab;11;TRUE
88;dd6bba77569048c4a9c4452d71e7ba9c;10;TRUE
89;de08c52de33e49ce8fe566dc3ec87d90;9;TRUE
90;e3ed40ee29f244899b48b4e4148ffbe0;9;TRUE
91;e71d0a8bfc08484fb0ebd50560d0b048;13;TRUE
92;e92ddbd94bd74f35a8727f386c192568;17;TRUE
93;ecbb940f93d64c6ab90a634268d78674;8;TRUE
94;f0bfe9623cc04f75a80ce874b50907ae;16;TRUE
95;f69b7d4cb2244478b8f57cb987223eb5;14;TRUE
96;f99c6e76c5e4410591ba6429eaf1712f;18;TRUE
97;fa27e8fe970d42d2a46ea79a83f6d140;13;TRUE
98;fd8869d7d2b3428e8dd97057aed7624c;15;TRUE
99;ff82e31592db4ca09d346b1a03bef226;14;TRUE
