RBD,filename
True,3bgf.pdb
True,4xak.pdb
True,4zs6.pdb
True,5do2.pdb
True,5yy5.pdb
True,5zxv.pdb
True,6c6z.pdb
False,6pxg_imgt.pdb
True,6xey.pdb
True,6xkp.pdb
True,6xkq.pdb
True,7b0b.pdb
True,7b3o.pdb
True,7bnv.pdb
True,7bwj.pdb
True,7byr.pdb
True,7bz5.pdb
True,7c01.pdb
False,7c2l_imgt.pdb
True,7cho.pdb
True,7chp.pdb
True,7chs.pdb
True,7cm4.pdb
True,7czp.pdb
True,7czt.pdb
True,7d0c.pdb
False,7dzx_imgt.pdb
True,7e3k.pdb
True,7e3l.pdb
True,7e3o.pdb
True,7e5o.pdb
True,7e5y.pdb
False,7e7x_imgt.pdb
False,7e8c_imgt.pdb
True,7eam.pdb
True,7ean.pdb
True,7eh5.pdb
True,7ey0.pdb
True,7ey4.pdb
True,7ey5.pdb
True,7eya.pdb
True,7ezv.pdb
True,7f3q.pdb
True,7jmo.pdb
True,7jmp.pdb
True,7jx3.pdb
True,7k8w.pdb
True,7k9z.pdb
True,7kfv.pdb
True,7kfw.pdb
True,7kfx.pdb
True,7kfy.pdb
True,7klg.pdb
True,7kn3.pdb
True,7kn4.pdb
True,7kn7.pdb
True,7ks9.pdb
True,7kzb.pdb
False,7l2d_imgt.pdb
False,7l2e_imgt.pdb
False,7l2f_imgt.pdb
True,7l56.pdb
True,7l58.pdb
True,7l7e.pdb
True,7laa.pdb
False,7lab_imgt.pdb
False,7lcn_imgt.pdb
True,7lop.pdb
True,7lq7.pdb
False,7lqv_imgt.pdb
False,7lqw_imgt.pdb
True,7ls9.pdb
True,7lss.pdb
False,7lxw_imgt.pdb
False,7lxx_imgt.pdb
True,7m3i.pdb
True,7m6d.pdb
True,7m6e.pdb
True,7m6f.pdb
True,7m6g.pdb
True,7m6i.pdb
True,7m7w.pdb
False,7m8j_imgt.pdb
True,7mf1.pdb
True,7msq.pdb
False,7mxp_imgt.pdb
True,7mzf.pdb
True,7mzg.pdb
True,7mzh.pdb
True,7mzj.pdb
True,7mzk.pdb
True,7mzl.pdb
True,7mzm.pdb
True,7mzn.pdb
False,7n01_imgt.pdb
True,7n4i.pdb
True,7n4j.pdb
True,7n4l.pdb
True,7n5h.pdb
False,7n62_imgt.pdb
True,7n64.pdb
True,7nd6.pdb
True,7ndb.pdb
True,7np1.pdb
False,7ntc_imgt.pdb
True,7or9.pdb
True,7pqz.pdb
True,7pr0.pdb
True,7prz.pdb
True,7ps0.pdb
True,7ps2.pdb
True,7ps4.pdb
True,7ps5.pdb
True,7ps6.pdb
True,7ps7.pdb
False,7q9i_imgt.pdb
True,7q9j.pdb
True,7qez.pdb
True,7qf0.pdb
True,7qny.pdb
True,7r7n.pdb
True,7r8n.pdb
True,7r8o.pdb
False,7rbu_imgt.pdb
False,7rq6_imgt.pdb
True,7rxd.pdb
True,7s0c.pdb
True,7s0d.pdb
True,7s0e.pdb
True,7sc1.pdb
True,7si2.pdb
True,7six.pdb
True,7swn.pdb
True,7swo.pdb
True,7swp.pdb
False,7swx_imgt.pdb
True,7t01.pdb
True,7t7b.pdb
True,7te1.pdb
True,7tp3.pdb
True,7tp4.pdb
True,7u2d.pdb
True,7u2e.pdb
True,7u9o.pdb
True,7u9p.pdb
False,7uap_imgt.pdb
True,7uz4.pdb
True,7uz5.pdb
True,7uz6.pdb
True,7uza.pdb
False,7vng_imgt.pdb
True,7vyr.pdb
True,7wbz.pdb
True,7we7.pdb
True,7wph.pdb
True,7wry.pdb
True,7wvl.pdb
True,7wwl.pdb
True,7wwm.pdb
True,7x7o.pdb
True,7x8w.pdb
True,7x8y.pdb
True,7x8z.pdb
True,7x91.pdb
True,7x92.pdb
True,7y0v.pdb
True,7y0w.pdb
True,7yr1.pdb
True,7z0x.pdb
True,7z0y.pdb
True,7zf3.pdb
True,7zf4.pdb
True,7zf5.pdb
True,7zfa.pdb
True,7zfb.pdb
True,7zfd.pdb
True,7zfe.pdb
True,7zr7.pdb
True,7zr9.pdb
True,8d8q.pdb
True,8dad.pdb
True,8dt3.pdb
True,8dw9.pdb
True,8dwa.pdb
True,8dxs.pdb
