features,coefficients
AAL,0.023518127387836756
AAA,0.0
QKK,0.0
QLC,0.0
QLA,0.0
QKY,0.0
QKV,0.0
QKS,0.0
QKR,0.0
QKQ,0.0
QKP,0.0
QKM,0.0
QKI,0.0
QLE,0.0
QKH,0.0
QKF,0.0
QKE,0.0
QKC,0.0
QKA,0.0
QIY,0.0
QIV,0.0
QIT,0.0
QLD,0.0
QLG,0.0
QIQ,0.0
QMD,0.0
QMQ,0.0
QMN,0.0
QML,0.0
QMI,0.0
QMH,0.0
QMG,0.0
QMF,0.0
QME,0.0
QMA,0.0
QLH,0.0
QLW,0.0
QLT,0.0
QLS,0.0
QLR,0.0
QLP,0.0
QLM,0.0
QLK,0.0
QLI,0.0
QIS,0.0
QIP,0.0
QMV,0.0
QFV,0.0
QGK,0.0
QGI,0.0
QGH,0.0
QGE,0.0
QGD,0.0
QGC,0.0
QFY,0.0
QFW,0.0
QFT,0.0
QGP,0.0
QFS,0.0
QFR,0.0
QFQ,0.0
QFP,0.0
QFN,0.0
QFM,0.0
QFL,0.0
QFK,0.0
QGN,0.0
QGS,0.0
QIG,0.0
QHQ,0.0
QIF,0.0
QIE,0.0
QID,0.0
QIC,0.0
QHV,0.0
QHT,0.0
QHS,0.0
QHR,0.0
QHP,0.0
QGV,0.0
QHN,0.0
QHM,0.0
QHL,0.0
QHK,0.0
QHI,0.0
QHF,0.0
QHC,0.0
QGW,0.0
QMS,0.0
QMY,0.0
QFH,0.0
QRS,0.0
QSL,0.0
QSI,0.0
QSG,0.0
QSF,0.0
QSA,0.0
QRY,0.0
QRV,0.0
QRT,0.0
QRR,0.0
QSQ,0.0
QRQ,0.0
QRP,0.0
QRN,0.0
QRL,0.0
QRI,0.0
QRH,0.0
QRG,0.0
QRF,0.0
QSN,0.0
QSR,0.0
QRC,0.0
QTI,0.0
QTT,0.0
QTS,0.0
QTQ,0.0
QTP,0.0
QTN,0.0
QTM,0.0
QTL,0.0
QTK,0.0
QTG,0.0
QST,0.0
QTF,0.0
QTE,0.0
QTD,0.0
QTC,0.0
QTA,0.0
QSY,0.0
QSW,0.0
QSV,0.0
QRD,0.0
QRA,0.0
QNC,0.0
QNR,0.0
QPF,0.0
QPD,0.0
QPA,0.0
QNY,0.0
QNW,0.0
QNV,0.0
QNT,0.0
QNS,0.0
QNP,0.0
QPI,0.0
QNN,0.0
QNM,0.0
QNL,0.0
QNK,0.0
QNI,0.0
QNG,0.0
QNE,0.0
QND,0.0
QPH,0.0
QPL,0.0
QQY,0.0
QQI,0.0
QQW,0.0
QQV,0.0
QQR,0.0
QQQ,0.0
QQP,0.0
QQN,0.0
QQM,0.0
QQL,0.0
QQH,0.0
QPM,0.0
QQG,0.0
QQF,0.0
QQD,0.0
QPV,0.0
QPT,0.0
QPS,0.0
QPR,0.0
QPN,0.0
QFI,0.0
QFG,0.0
QVD,0.0
QFF,0.0
PTE,0.0
PTD,0.0
PTC,0.0
PTA,0.0
PSY,0.0
PSW,0.0
PST,0.0
PSS,0.0
PSR,0.0
PSP,0.0
PSM,0.0
PSK,0.0
PSI,0.0
PSH,0.0
PSG,0.0
PSF,0.0
PSE,0.0
PSD,0.0
PSC,0.0
PTH,0.0
PTI,0.0
PTK,0.0
PVD,0.0
PVW,0.0
PVS,0.0
PVR,0.0
PVP,0.0
PVN,0.0
PVL,0.0
PVI,0.0
PVH,0.0
PVC,0.0
PTN,0.0
PVA,0.0
PTY,0.0
PTV,0.0
PTT,0.0
PTS,0.0
PTR,0.0
PTQ,0.0
PTP,0.0
PSA,0.0
PRY,0.0
PRS,0.0
PPF,0.0
PQC,0.0
PQA,0.0
PPT,0.0
PPR,0.0
PPN,0.0
PPM,0.0
PPL,0.0
PPH,0.0
PPE,0.0
PQG,0.0
PPC,0.0
PPA,0.0
PNW,0.0
PNV,0.0
PNT,0.0
PNR,0.0
PNP,0.0
PNN,0.0
PQF,0.0
PQH,0.0
PRR,0.0
PRC,0.0
PRQ,0.0
PRN,0.0
PRL,0.0
PRK,0.0
PRI,0.0
PRG,0.0
PRF,0.0
PRD,0.0
PQY,0.0
PQI,0.0
PQS,0.0
PQR,0.0
PQQ,0.0
PQP,0.0
PQN,0.0
PQM,0.0
PQL,0.0
